algorithm,precision,b,iterations,error_at_convergence_or_final,threshold,meets_threshold
Goldschmidt binomial (order=3),fp8,0.001123924647194094,1,3.248761e-02,1.250000e-01,1
Goldschmidt binomial (order=3),fp8,0.88111576446550466,1,1.997547e-04,1.250000e-01,1
Goldschmidt binomial (order=3),fp8,0.24649710218979007,1,3.854338e-08,1.250000e-01,1
Goldschmidt binomial (order=3),fp8,66.890012460874743,1,5.195279e-02,1.250000e-01,1
Goldschmidt binomial (order=3),fp8,2996.2328803974779,1,5.197125e-03,1.250000e-01,1
Goldschmidt binomial (order=3),fp8,1.2870106085281319e-05,1,6.005564e-04,1.250000e-01,1
Goldschmidt binomial (order=3),fp8,2.0928481382463172e-06,1,4.150879e-02,1.250000e-01,1
Goldschmidt binomial (order=3),bf16,3.9564601847039412e-05,2,5.498081e-08,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,0.001123924647194094,2,1.113964e-06,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,66.890012460874743,2,7.285102e-06,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,2.0928481382463172e-06,2,2.968659e-06,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,11041.160195691949,2,1.635443e-08,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,0.15503681209162212,2,1.878644e-07,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,1.0110194158593826e-06,2,5.657174e-06,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,0.00054196558030736146,2,2.366931e-06,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,68181.763977004535,2,7.891740e-06,7.812500e-03,1
Goldschmidt binomial (order=3),bf16,2.2271023958354482e-06,2,8.099790e-07,7.812500e-03,1
Goldschmidt binomial (order=3),fp32,0.001123924647194094,3,1.277754e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,66.890012460874743,3,0.000000e+00,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,2.0928481382463172e-06,3,1.218198e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,0.15503681209162212,3,1.377004e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,1.0110194158593826e-06,3,0.000000e+00,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,0.00054196558030736146,3,1.232287e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,68181.763977004535,3,2.310088e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,2.2271023958354482e-06,3,1.296344e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,1.9310734093267968e-06,3,2.248065e-16,5.960464e-08,1
Goldschmidt binomial (order=3),fp32,0.037115600156526318,3,0.000000e+00,5.960464e-08,1
